YYYYMM,Value,Column_Order,Description,Unit
197913,1080.485,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198013,1058.054,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198113,1032.089,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198213,960.901,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198313,901.094,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198413,962.252,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198513,926.516,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198613,867.866,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198713,922.972,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198813,964.373,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198913,1026.955,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199013,1026.254,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199113,1047.756,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199213,1083.262,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199313,1110.705,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199413,1136.048,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199513,1185.443,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199613,1206.744,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199713,1213.776,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
